"URI","country","elev","latitude","longitude","name","region","type"
"http://localhost:9091/project/volcanos/source/99","Japan","217","2.785E1","1.2825E2","Iwo-Tori-shima","Ryukyu Is","Complex volcano"
"http://localhost:9091/project/volcanos/source/98","Bolivia","5163","-2.073E1","-6.855E1","Irruputuncu","Chile-N","Stratovolcano"
"http://localhost:9091/project/volcanos/source/97","Costa Rica","3432","9.979E0","-8.3852E1","Irazu","Costa Rica","Stratovolcano"
"http://localhost:9091/project/volcanos/source/96","Indonesia","1018","-8.54E0","1.2359E2","Iliwerung","Lesser Sunda Is","Complex volcano"
"http://localhost:9091/project/volcanos/source/95","Indonesia","1659","-8.342E0","1.23258E2","Iliboleng","Lesser Sunda Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/94","Indonesia","2799","-8.058E0","1.14242E2","Ijen","Java","Stratovolcano"
"http://localhost:9091/project/volcanos/source/93","Indonesia","1325","1.475E0","1.27642E2","Ibu","Halmahera-Indonesia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/92","Tonga","0","-2.057E1","-1.7538E2","Hunga Tonga-Hunga Ha'apai","Tonga-SW Pacific","Submarine volcano"
"http://localhost:9091/project/volcanos/source/91","Chile","1905","-4.59E1","-7.297E1","Hudson, Cerro","Chile-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/90","Tonga","-2","-1.8992E1","-1.74775E2","Home Reef","Tonga-SW Pacific","Submarine volcano"
"http://localhost:9091/project/volcanos/source/9","Russia","2339","5.0858E1","1.5555E2","Alaid","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/89","Iceland","1491","6.398E1","-1.97E1","Hekla","Iceland-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/88","Heard I. & McDonald Is.","2745","-5.3106E1","7.3513E1","Heard","Indian O-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/87","Ecuador","4784","..171E-1","-7.8598E1","Guagua Pichincha","Ecuador","Stratovolcano"
"http://localhost:9091/project/volcanos/source/86","Russia","1211","4.502E1","1.4787E2","Grozny Group","Kuril Is","Complex volcano"
"http://localhost:9091/project/volcanos/source/85","Iceland","1725","6.442E1","-1.733E1","Grimsvotn","Iceland-NE","Caldera"
"http://localhost:9091/project/volcanos/source/84","United States","1740","5.208E1","-1.7613E2","Great Sitkin","Aleutian Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/83","Russia","1829","5.2558E1","1.5803E2","Gorely","Kamchatka","Caldera"
"http://localhost:9091/project/volcanos/source/82","Vanuatu","797","-1.427E1","1.675E2","Gaua","Vanuatu-SW Pacific","Stratovolcano"
"http://localhost:9091/project/volcanos/source/81","United States","1573","5.178E1","-1.788E2","Gareloi","Aleutian Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/80","Indonesia","1635","1.375E0","1.2752E2","Gamkonora","Halmahera-Indonesia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/8","United States","1303","5.413E1","-1.6597E2","Akutan","Aleutian Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/79","Indonesia","1715","8.0E-1","1.27325E2","Gamalama","Halmahera-Indonesia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/78","Indonesia","2168","-7.25E0","1.0805E2","Galunggung","Java","Stratovolcano"
"http://localhost:9091/project/volcanos/source/77","Colombia","4276","1.22E0","-7.737E1","Galeras","Colombia","Complex volcano"
"http://localhost:9091/project/volcanos/source/76","Pacific Ocean","-2430","7.92E-1","-8.615E1","Galapagos Rift","Pacific-E","Submarine volcano"
"http://localhost:9091/project/volcanos/source/75","Japan","-14","2.428E1","1.4152E2","Fukutoku-okanoba","Volcano Is-Japan","Submarine volcano"
"http://localhost:9091/project/volcanos/source/74","Japan","-217","2.1925E1","1.43442E2","Fukujin","Volcano Is-Japan","Submarine volcano"
"http://localhost:9091/project/volcanos/source/73","Guatemala","3763","1.4473E1","-9.088E1","Fuego","Guatemala","Stratovolcano"
"http://localhost:9091/project/volcanos/source/72","Reunion","2631","-2.1229E1","5.5713E1","Fournaise, Piton de la","Indian O-W","Shield volcano"
"http://localhost:9091/project/volcanos/source/71","Cape Verde","2829","1.495E1","-2.435E1","Fogo","Cape Verde Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/70","Ecuador","1495","..37E-1","-9.155E1","Fernandina","Galapagos","Shield volcano"
"http://localhost:9091/project/volcanos/source/7","Japan","1366","3.997E1","1.4077E2","Akita-Yake-yama","Honshu-Japan","Complex volcano"
"http://localhost:9091/project/volcanos/source/69","United States","360","2.053E1","1.449E2","Farallon de Pajaros","Mariana Is-C Pacific","Stratovolcano"
"http://localhost:9091/project/volcanos/source/68","Iceland","1666","6.363E1","-1.962E1","Eyjafjallajokull","Iceland-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/67","Italy","3350","3.7734E1","1.5004E1","Etna","Italy","Stratovolcano"
"http://localhost:9091/project/volcanos/source/66","Ethiopia","613","1.36E1","4.067E1","Erta Ale","Africa-NE","Shield volcano"
"http://localhost:9091/project/volcanos/source/65","Antarctica","3794","-7.753E1","1.6717E2","Erebus","Antarctica","Stratovolcano"
"http://localhost:9091/project/volcanos/source/64","Vanuatu","833","-1.668E1","1.6837E2","Epi","Vanuatu-SW Pacific","Stratovolcano"
"http://localhost:9091/project/volcanos/source/63","Russia","1170","4.8958E1","1.5393E2","Ekarma","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/62","Indonesia","2124","-8.808E0","1.2118E2","Ebulobo","Lesser Sunda Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/61","Russia","1156","5.068E1","1.5602E2","Ebeko","Kuril Is","Somma volcano"
"http://localhost:9091/project/volcanos/source/60","Pacific Ocean","-80","-2.098E1","1.7028E2","Eastern Gemini Seamount","SW Pacific","Submarine volcano"
"http://localhost:9091/project/volcanos/source/6","Japan","1637","3.975E1","1.408E2","Akita-Komaga-take","Honshu-Japan","Stratovolcano"
"http://localhost:9091/project/volcanos/source/59","Indonesia","1185","1.68E0","1.2788E2","Dukono","Halmahera-Indonesia","Complex volcano"
"http://localhost:9091/project/volcanos/source/58","Indonesia","2565","-7.2E0","1.0992E2","Dieng Volc Complex","Java","Complex volcano"
"http://localhost:9091/project/volcanos/source/57","Philippines","244","1.9077E1","1.22202E2","Didicas","Luzon-N of","Compound volcano"
"http://localhost:9091/project/volcanos/source/56","Indonesia","3173","-4.03E0","1.0313E2","Dempo","Sumatra","Stratovolcano"
"http://localhost:9091/project/volcanos/source/55","Antarctica","576","-6.297E1","-6.065E1","Deception Island","Antarctica","Caldera"
"http://localhost:9091/project/volcanos/source/54","Tonga","-33","-1.562E1","-1.7367E2","Curacoa","Tonga-SW Pacific","Submarine volcano"
"http://localhost:9091/project/volcanos/source/53","Chile","2965","-3.785E1","-7.117E1","Copahue","Chile-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/52","Nicaragua","1700","1.1538E1","-8.5622E1","Concepcion","Nicaragua","Stratovolcano"
"http://localhost:9091/project/volcanos/source/51","Indonesia","507","..17E-1","1.21608E2","Colo [Una Una]","Sulawesi-Indonesia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/50","Mexico","3850","1.9514E1","-1.0362E2","Colima","Mexico","Stratovolcano"
"http://localhost:9091/project/volcanos/source/5","Japan","1499","4.338E1","1.4402E2","Akan","Hokkaido-Japan","Caldera"
"http://localhost:9091/project/volcanos/source/49","Pacific Ocean","-2400","4.652E1","-1.2958E2","CoAxial Segment","Pacific-NE","Submarine volcano"
"http://localhost:9091/project/volcanos/source/48","United States","1730","5.282E1","-1.6995E2","Cleveland","Aleutian Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/47","Pacific Ocean","-2140","4.483E1","-1.303E2","Cleft Segment","Pacific-NE","Submarine volcano"
"http://localhost:9091/project/volcanos/source/46","Japan","2237","3.908E1","1.4003E2","Chokai","Honshu-Japan","Stratovolcano"
"http://localhost:9091/project/volcanos/source/45","Russia","742","4.6525E1","1.50875E2","Chirpoi","Kuril Is","Caldera"
"http://localhost:9091/project/volcanos/source/44","Russia","724","4.898E1","1.5348E2","Chirinkotan","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/43","Chile","3212","-3.6863E1","-7.1377E1","Chillan, Nevados de","Chile-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/420","Russia","2958","5.359E1","1.59147E2","Zhupanovsky","Kamchatka","Compound volcano"
"http://localhost:9091/project/volcanos/source/42","Russia","1816","5.0325E1","1.55458E2","Chikurachki","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/419","Taiwan","-418","2.618E1","1.22458E2","Zengyu","Taiwan-N of","Submarine volcano"
"http://localhost:9091/project/volcanos/source/418","Russia","624","4.6925E1","1.5195E2","Zavaritzki Caldera","Kuril Is","Caldera"
"http://localhost:9091/project/volcanos/source/417","Japan","1841","3.815E1","1.4045E2","Zao","Honshu-Japan","Complex volcano"
"http://localhost:9091/project/volcanos/source/416","United States","550","5.263E1","-1.7063E2","Yunaska","Aleutian Is","Shield volcano"
"http://localhost:9091/project/volcanos/source/415","United States","4317","6.2E1","-1.4402E2","Wrangell","Alaska-E","Shield volcano"
"http://localhost:9091/project/volcanos/source/414","Papua New Guinea","640","-9.57E0","1.49075E2","Waiowa","New Guinea","Pyroclastic cone"
"http://localhost:9091/project/volcanos/source/413","Rwanda","3711","-1.47E0","2.9492E1","Visoke","Africa-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/412","Papua New Guinea","1925","-9.2E0","1.4907E2","Victory","New Guinea","Stratovolcano"
"http://localhost:9091/project/volcanos/source/411","Italy","1281","4.0821E1","1.4426E1","Vesuvius","Italy","Complex volcano"
"http://localhost:9091/project/volcanos/source/410","Tonga","0","-2.107E1","-1.7533E2","Unnamed","Tonga-SW Pacific","Not Volcanic"
"http://localhost:9091/project/volcanos/source/41","United States","2075","5.713E1","-1.57E2","Chiginagak","Alaska Peninsula","Stratovolcano"
"http://localhost:9091/project/volcanos/source/409","Russia","-150","4.808E1","1.5333E2","Unnamed","Kuril Is","Submarine volcano"
"http://localhost:9091/project/volcanos/source/408","Tonga","-500","-2.138E1","-1.7565E2","Unnamed","Tonga-SW Pacific","Submarine volcano"
"http://localhost:9091/project/volcanos/source/407","United States","-4000","2.358E1","-1.6383E2","Unnamed","Hawaiian Is","Submarine volcano"
"http://localhost:9091/project/volcanos/source/406","Arctic Ocean","-1500","8.827E1","-6.56E1","Unnamed","Arctic Ocean","Submarine volcano"
"http://localhost:9091/project/volcanos/source/405","Peru","5815","-1.7025E1","-7.0358E1","Tutupaca","Peru","Stratovolcano"
"http://localhost:9091/project/volcanos/source/404","Ethiopia","2349","8.158E0","3.913E1","Tullu Moje","Africa-NE","Pumice cone"
"http://localhost:9091/project/volcanos/source/403","Atlantic Ocean","2060","-3.7092E1","-1.228E1","Tristan da Cunha","Atlantic-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/402","Colombia","5200","4.67E0","-7.533E1","Tolima","Colombia","Stratovolcano"
